City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Min Temp,Feels Like,Wind Speed,Hotel Name
Ardakān,0,IR,1598655464,15,32.31,54.02,25.0,25.0,20.39,3.1,Kheshtomah Ecolodge
Arraial do Cabo,0,BR,1598655466,78,-22.97,-42.03,22.0,22.0,20.1,6.7,Orlanova Hotel
Jalu,0,LY,1598655471,60,29.03,21.55,26.03,26.03,25.25,4.89,Jalu Hotel
Tabriz,0,IR,1598655473,38,38.08,46.29,23.0,23.0,21.04,2.1,Sina Hotel
Marsá Maţrūḩ,0,EG,1598655475,65,31.35,27.25,26.0,26.0,27.37,2.6,Jewel Matrouh Hotel
Lagoa,0,PT,1598655476,94,39.05,-27.98,23.42,23.42,23.58,6.79,Graciosa Resort - Biosphere Island Hotel
Podgorica,0,ME,1598655483,60,42.44,19.26,24.0,24.0,23.72,3.1,CentreVille Hotel & Experiences
Safidon,0,IN,1598655486,77,29.42,76.67,26.66,26.66,29.55,2.81,OYO 69884 Shri Balaji Guest House
Caravelas,0,BR,1598655497,83,-17.71,-39.25,21.48,21.48,23.17,1.87,Pousada Encanto Abrolhos
São Mateus,0,BR,1598655519,90,-18.72,-39.86,21.22,21.22,23.41,1.82,ibis Styles Sao Mateus
Parga,0,GR,1598655332,94,39.28,20.4,24.0,22.78,27.44,0.91,Lichnos Bay Village
Quelimane,0,MZ,1598655553,88,-17.88,36.89,23.0,22.78,25.92,1.5,Liduina Guest House
Brooks,0,CA,1598655390,26,50.58,-111.89,26.67,26.67,23.78,2.68,Days Inn & Suites by Wyndham Brooks
Beitbridge,0,ZW,1598655565,25,-22.22,30.0,23.58,23.58,18.93,4.35,PETERS MOTEL & CONFERENCE CENTRE
Liaocheng,0,CN,1598655565,81,36.44,115.96,23.54,23.54,26.09,1.7,Arcadia International Hot Spring Hotel
