City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Min Temp,Feels Like,Wind Speed
Upernavik,0,GL,1598655460,71,72.79,-56.15,4.64,4.64,-2.3,7.04
Norman Wells,90,CA,1598655397,66,65.28,-126.83,11.0,11.0,6.98,4.1
Rāmgarh,7,IN,1598655037,87,23.63,85.52,22.88,22.88,25.2,2.38
Camocim,14,BR,1598655037,72,-2.9,-40.84,26.1,26.1,24.28,8.33
Umm Kaddadah,71,SD,1598655037,55,13.6,26.69,28.3,28.3,30.31,1.35
Saint-Joseph,75,RE,1598655461,73,-21.37,55.62,21.0,13.33,17.87,2.1
Atuona,64,PF,1598655276,79,-9.8,-139.03,25.48,25.48,22.93,10.03
Høyanger,2,NO,1598655038,92,61.22,6.07,8.89,8.89,8.03,0.45
Margate,35,GB,1598655038,79,51.38,1.39,16.11,11.67,12.55,1.34
Kapaa,20,US,1598655294,70,22.08,-159.32,29.0,28.33,30.42,4.6
Klaksvík,77,FO,1598655038,81,62.23,-6.59,8.0,8.0,3.29,5.1
Yellowknife,90,CA,1598655461,87,62.46,-114.35,12.22,11.67,10.11,2.6
Punta Arenas,14,CL,1598655461,90,-53.15,-70.92,0.0,0.0,-11.92,13.9
Qaanaaq,100,GL,1598655461,88,77.48,-69.36,4.49,4.49,1.59,1.91
Maracaibo,19,VE,1598654897,70,10.63,-71.64,29.56,29.56,31.95,4.48
Srednekolymsk,100,RU,1598655462,91,67.45,153.68,6.24,6.24,4.63,0.66
Mataura,25,NZ,1598655462,72,-46.19,168.86,7.22,7.22,2.19,4.92
Artvin Province,26,TR,1598654849,88,41.17,41.83,21.0,21.0,20.63,5.1
Hermanus,24,ZA,1598655462,83,-34.42,19.23,10.0,10.0,5.91,4.92
Saskylakh,0,RU,1598655316,55,71.92,114.08,14.01,14.01,11.74,1.67
Muros,6,ES,1598655463,86,42.78,-9.06,15.56,15.56,14.19,3.4
Butaritari,99,KI,1598655463,74,3.07,172.79,27.94,27.94,28.28,6.9
Hithadhoo,100,MV,1598655463,65,-0.6,73.08,27.61,27.61,28.85,3.8
Khani,85,GE,1598655463,93,41.96,42.96,19.0,19.0,20.26,2.1
Bethel,1,US,1598655463,54,41.37,-73.41,27.0,23.89,26.57,1.43
Benxi,20,CN,1598655464,100,41.29,123.77,18.0,18.0,19.39,2.0
Mahébourg,75,MU,1598655464,73,-20.41,57.7,22.0,22.0,20.78,5.1
Bengkulu,94,ID,1598655464,83,-3.8,102.27,24.05,24.05,26.66,2.23
Japura,100,ID,1598655464,89,-0.32,102.35,23.04,23.04,26.62,0.96
Ardakān,0,IR,1598655464,15,32.31,54.02,25.0,25.0,20.39,3.1
Mar del Plata,68,AR,1598655464,87,-38.0,-57.56,12.22,10.56,9.24,2.6
Saint-Philippe,75,RE,1598655464,73,-21.36,55.77,21.0,13.33,17.81,2.1
Belmonte,40,BR,1598655465,78,-15.86,-38.88,23.0,23.0,24.04,3.1
Port Macquarie,0,AU,1598655465,64,-31.43,152.92,13.89,13.33,12.59,0.45
La Libertad,75,EC,1598655465,78,-2.23,-80.9,23.0,23.0,22.99,4.6
Khatanga,10,RU,1598655303,55,71.97,102.5,13.05,13.05,10.13,2.34
Tommot,35,RU,1598655465,60,58.96,126.29,10.54,10.54,8.06,1.43
Arraial do Cabo,0,BR,1598655466,78,-22.97,-42.03,22.0,22.0,20.1,6.7
Hasaki,20,JP,1598655466,84,35.73,140.83,30.0,27.0,34.08,2.6
Balkhash,0,KZ,1598655466,59,46.84,74.98,17.67,17.67,12.24,7.65
Busselton,17,AU,1598655456,80,-33.65,115.33,6.67,5.56,0.86,5.5
